"","age","female","college","church","catholic","jewish","bible","income","pid","media","feeling.dem","feeling.demc","feeling.repc","feeling.rep","abortion","black","latino","white","gay.marriage","gay.discrimination","racial.resentment","moral.traditionalism","gay.therm","immigrants","gays.adoption","trans.military","authoritarianism","aid.blacks","sample_type","race","birthright.citizenship","dreamers","border.wall","urban.unrest","conservative"
"3854",67,1,1,NA,0,0,1,1,0.666666666666667,0,0,0,100,50,0,0,0,1,0,0,1,0.625,0.591836734693878,0,0,1,0.25,1,3,"white",0,0,1,0,0
"3855",74,0,1,NA,0,0,1,1,0.333333333333333,0,70,70,0,15,0,0,1,0,0,0,0,0.5,0.846938775510204,0,0,0,0.25,0,3,"latino",0,0,0,0,0
"3856",55,0,1,0,0,0,1,1,0,0,75,85,0,0,0,0,1,0,0,0,0.125,0.5,0.744897959183674,0,0,0,0,0,3,"latino",0,0,0,0,0
"3857",33,0,1,NA,0,0,1,1,0,0,70,85,0,30,0,0,0,1,0,0,0,0.375,0.948979591836735,0,0,0,0.25,0,4,"white",0,0,0,0,0
"3858",68,1,0,0,0,0,2,0,0.166666666666667,0,85,100,15,60,NA,0,0,1,0,0,0.75,0.375,0.693877551020408,1,1,1,0.5,0,4,"white",0,0,0,0,0
"3859",65,0,0,NA,0,0,2,1,0.833333333333333,0,50,0,70,50,0,0,0,1,0,1,0.6875,0.625,0.489795918367347,0,0,1,0.25,0,4,"white",1,1,1,0,0
"3860",38,1,1,NA,0,0,1,1,0,0,85,85,0,0,0,0,0,1,0,0,0,0,0.795918367346939,0,0,0,0,0,4,"white",0,0,0,0,0
"3861",72,0,0,0,0,0,3,0,1,NA,0,0,100,70,1,0,0,1,1,1,0.5625,1,0.489795918367347,0,1,0,0.75,1,4,"white",0,1,1,1,1
"3862",57,0,0,NA,1,0,1,0,0.166666666666667,0,60,60,60,50,0,0,0,0,0,0,0.375,0.375,0.489795918367347,0,0,1,0.5,1,4,"other",0,0,0,0,0
"3863",-9,NA,1,0,0,0,1,NA,0,NA,70,70,15,30,0,0,0,1,0,0,NA,NA,NA,NA,0,NA,NA,0,3,"white",0,0,0,0,0
"3864",33,0,1,NA,0,0,NA,1,0,0,60,15,0,0,0,0,0,1,0,0,0.3125,0.25,0.591836734693878,0,0,1,0,0,3,"white",0,0,0,0,0
"3865",22,0,0,NA,0,0,2,0,1,NA,0,0,100,100,0,0,0,1,1,1,0.5,0.5,0.795918367346939,1,1,1,0.75,0,4,"white",0,0,1,NA,NA
"3866",37,0,1,NA,0,0,3,1,1,NA,15,15,85,70,1,0,0,1,0,0,NA,NA,NA,NA,0,NA,NA,1,4,"white",0,0,1,0,0
"3867",69,0,0,NA,0,0,2,0,1,0,0,0,100,100,0,0,0,1,0,0,0.5,0.75,0.0306122448979592,1,0,0,0.25,NA,3,"white",0,0,1,1,1
"3868",44,1,0,0,0,0,3,0,0.333333333333333,0,70,50,0,70,0,1,0,0,0,0,0.625,0.5,0.489795918367347,0,0,1,0.75,0,3,"black",0,0,0,0,0
"3869",75,0,1,0,0,0,2,1,1,0,50,50,60,70,0,0,0,1,0,0,NA,NA,NA,NA,0,NA,NA,0,3,"white",0,0,0,0,0
"3870",44,1,0,0,0,0,NA,0,0.5,0,85,70,30,85,NA,0,1,0,0,1,0.5,0.5,0.591836734693878,0,0,1,1,NA,4,"latino",0,1,1,NA,NA
"3871",23,1,0,NA,0,0,1,1,0,0,100,70,0,0,0,0,1,0,0,0,0,0.25,1,0,0,0,0,0,4,"latino",0,0,0,0,0
"3872",19,1,0,NA,0,0,2,1,0,0,85,70,0,15,0,0,0,1,0,0,0.0625,0.375,1,0,0,0,0,0,4,"white",0,0,0,0,0
"3873",66,0,0,NA,1,0,3,1,0,0,85,85,0,30,0,0,1,0,0,0,0.75,0.375,0.693877551020408,1,0,0,0.75,1,4,"latino",1,0,0,0,0
"3874",63,0,0,NA,0,0,1,0,0,0,70,100,30,30,0,1,0,0,0,0,0.0625,0.25,1,0,0,0,1,0,4,"black",0,0,0,0,0
"3875",-9,1,1,0,0,0,3,1,1,0,10,5,90,68,0,0,0,1,0,0,0.5,1,0.744897959183674,0,0,1,0.75,1,3,"white",0,0,1,0,0
"3876",62,1,0,NA,1,0,NA,0,0,0,100,100,0,0,0,0,0,1,0,0,0,0.25,1,0,0,0,0.75,0,3,"white",0,0,0,0,0
"3877",60,0,0,NA,0,0,2,0,0.5,0,50,50,50,50,0,0,0,1,0,0,0.5,0.75,NA,NA,0,1,0.5,NA,3,"white",0,0,0,0,0
"3878",44,1,0,NA,0,0,2,0,0.166666666666667,NA,70,70,0,40,0,0,0,1,0,0,NA,NA,NA,NA,0,NA,NA,0,4,"white",0,0,0,0,0
"3879",59,1,0,NA,1,0,2,1,0.5,0,30,40,70,70,0,0,0,1,0,0,0.875,0.75,0.489795918367347,1,0,1,0.75,1,4,"white",0,0,1,1,1
"3880",42,0,1,NA,1,0,1,1,0.833333333333333,0,50,60,0,40,0,0,0,1,0,0,0.3125,0.375,0.744897959183674,0,0,0,0.25,0,3,"white",0,0,0,0,0
"3881",38,1,1,NA,0,0,3,1,0.5,0,60,0,85,50,0,0,0,1,0,0,NA,NA,NA,NA,0,NA,NA,0,4,"white",0,0,0,0,0
"3882",30,1,0,0,0,0,3,1,1,0,15,15,100,70,0,0,0,1,0,0,0.75,0.875,0.489795918367347,0,0,0,0.75,1,4,"white",0,0,1,1,1
"3883",27,1,0,NA,0,0,1,1,0.333333333333333,0,60,40,30,30,0,0,0,1,0,0,0.3125,0.5,1,0,0,0,0.25,0,3,"white",0,0,0,0,0
"3884",66,1,0,NA,0,0,2,0,0,0,70,100,0,30,0,0,0,1,0,0,0.4375,0.875,1,1,0,1,1,0,4,"white",0,0,0,0,0
"3885",55,0,0,1,0,0,3,0,0,0,100,100,0,10,0,1,0,0,1,0,0.1875,1,0.489795918367347,1,0,0,1,0,4,"black",1,0,0,0,0
"3886",34,0,0,NA,0,0,1,0,0.333333333333333,0,50,60,5,10,0,0,0,1,0,0,NA,NA,NA,NA,0,NA,NA,0,4,"white",0,0,0,0,0
"3887",72,0,0,NA,0,0,1,1,0.666666666666667,NA,15,0,85,70,0,0,0,1,0,0,0.5,0.75,0.489795918367347,0,0,1,0.25,1,4,"white",1,1,0,1,1
"3888",18,0,0,NA,0,0,2,0,1,0,0,0,100,100,1,0,0,1,0,0,1,1,0.846938775510204,1,0,0,0.75,1,4,"white",0,0,1,1,1
"3889",80,1,1,1,0,0,2,1,1,0,0,0,70,85,1,0,0,1,0,1,0.5,0.625,0.13265306122449,1,1,1,0.25,1,4,"white",1,0,1,0,0
"3890",28,0,0,NA,NA,NA,NA,0,0.5,0,50,70,0,50,NA,0,1,0,NA,NA,0.4375,0.625,NA,0,NA,1,0.5,NA,4,"latino",0,0,0,0,0
"3891",57,0,0,0,1,0,2,0,0.666666666666667,0,15,15,100,85,0,0,0,1,0,0,NA,NA,NA,NA,0,NA,NA,0,4,"white",0,0,1,1,1
"3892",71,0,0,0,0,0,2,0,0,0,100,100,0,0,0,1,0,0,1,0,0.375,0.5,NA,0,1,1,1,0,3,"black",0,0,0,0,0
"3893",70,1,1,NA,0,0,2,0,0,0,70,85,0,0,0,0,0,1,0,0,0.1875,0.5,0.846938775510204,0,0,0,0.25,0,4,"white",0,0,0,0,0
"3894",38,1,1,0,0,0,2,1,0.5,0,50,50,15,50,0,0,0,1,0,0,0.1875,0.75,0.489795918367347,0,0,1,0.5,0,4,"white",0,0,1,0,0
"3895",46,1,1,NA,0,1,NA,1,0.166666666666667,0,85,100,0,0,0,0,0,1,0,0,0.125,0.125,1,0,0,0,0.75,0,3,"white",0,0,0,0,0
"3896",44,0,1,NA,0,0,1,1,0,0,90,95,0,0,0,0,0,1,0,0,0.0625,0.125,1,0,0,0,0,0,4,"white",0,0,0,0,0
"3897",79,0,1,0,0,0,2,NA,1,0,0,0,100,60,0,0,0,1,0,0,0.9375,1,NA,1,1,1,0.25,0,4,"white",1,0,1,1,1
"3898",43,1,1,0,0,0,1,1,0,0,85,85,0,30,0,0,0,1,0,0,0.0625,0.25,0.591836734693878,0,0,0,0,0,4,"white",0,0,0,0,0
"3899",43,0,0,0,0,0,2,1,0.666666666666667,0,15,5,85,70,NA,0,0,1,0,0,0.8125,0.875,0.489795918367347,0,0,1,0.25,0,3,"white",1,0,1,0,0
"3900",-9,1,0,NA,0,0,2,1,0.833333333333333,NA,0,0,100,85,0,0,0,1,1,1,0.625,0.375,NA,1,1,0,0.5,1,3,"white",1,1,1,1,1
"3901",61,1,0,NA,0,0,2,0,0.333333333333333,0,60,85,0,0,0,0,0,1,0,0,0,0.5,1,0,0,1,0.25,0,4,"white",0,0,0,0,0
"3902",61,1,0,1,0,0,2,1,0.833333333333333,0,40,0,99,60,1,0,0,1,1,1,0.9375,1,0.489795918367347,0,1,0,0.75,1,4,"white",1,0,1,0,0
"3903",38,1,0,0,0,0,NA,1,0.666666666666667,0,60,15,0,85,0,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,0,4,"other",1,1,0,0,0
"3904",60,0,1,0,0,0,3,1,0.333333333333333,0,50,70,30,60,0,1,0,0,0,0,0.4375,0.75,0.489795918367347,0,1,1,1,0,4,"black",1,0,0,0,0
"3905",23,0,1,0,0,0,3,1,0,0,85,85,0,0,0,1,0,0,0,0,0.125,0.875,0.489795918367347,0,0,0,0.75,0,3,"black",0,0,0,0,0
"3906",41,1,0,0,0,0,2,0,0,0,70,85,0,0,0,0,0,1,0,0,0.125,0.375,1,0,0,0,0,0,4,"white",0,0,0,0,0
"3907",49,0,1,NA,0,0,2,1,0.833333333333333,0,30,40,50,50,0,0,0,1,0,0,0.875,0.75,0.387755102040816,0,0,0,0.25,0,4,"white",1,1,1,1,1
"3908",39,1,1,NA,1,0,2,1,1,0,0,0,100,85,0,0,0,1,0,0,0.5625,0.75,0.846938775510204,1,0,1,0,NA,3,"white",0,0,1,0,0
"3909",32,1,0,0,1,0,2,0,1,NA,0,0,100,100,0,0,0,1,0,0,1,0.5,0.693877551020408,0,0,1,0.5,NA,4,"white",1,0,1,NA,NA
"3910",46,1,0,0,0,0,3,0,1,0,15,15,100,85,NA,0,0,1,0,0,0.8125,0.875,0.591836734693878,1,0,0,0.75,0,4,"white",1,0,1,1,1
"3911",43,0,0,NA,0,0,NA,1,0.333333333333333,NA,0,30,100,100,0,0,0,1,0,0,0.5625,0.625,0.846938775510204,1,0,0,1,1,4,"white",0,0,0,NA,NA
